iter	Passed	Remaining
0	59	59865
1	60	30132
2	60	20236
3	61	15262
4	61	12280
5	62	10293
6	62	8870
7	62	7805
8	63	6976
9	63	6308
10	64	5773
11	64	5328
12	65	4943
13	65	4619
14	65	4332
15	66	4081
16	66	3862
17	67	3668
18	67	3491
19	67	3331
20	68	3187
21	68	3056
22	69	2936
23	69	2826
24	69	2724
25	70	2630
26	70	2544
27	71	2471
28	71	2397
29	72	2330
30	72	2265
31	73	2208
32	73	2154
33	74	2106
34	74	2056
35	74	2008
36	75	1962
37	75	1921
38	76	1880
39	76	1840
40	77	1804
41	77	1768
42	77	1734
43	78	1702
44	78	1671
45	79	1646
46	79	1618
47	80	1592
48	80	1566
49	81	1541
50	81	1517
51	81	1493
52	82	1471
53	82	1452
54	83	1431
55	83	1411
56	84	1393
57	84	1375
58	85	1357
59	85	1341
60	86	1324
61	86	1307
62	86	1293
63	87	1278
64	87	1264
65	88	1249
66	88	1236
67	89	1222
68	89	1210
69	90	1198
70	90	1185
71	91	1173
72	91	1161
73	91	1149
74	92	1138
75	92	1128
76	93	1117
77	93	1106
78	94	1096
79	94	1087
80	95	1078
81	95	1068
82	95	1055
83	96	1047
84	96	1038
85	97	1031
86	97	1021
87	97	1013
88	98	1005
89	98	997
90	99	989
91	99	981
92	99	973
93	100	965
94	100	958
95	101	952
96	101	945
97	101	938
98	102	931
99	102	925
100	103	919
101	103	912
102	104	906
103	104	900
104	104	894
105	105	888
106	105	882
107	106	876
108	106	871
109	107	866
110	107	860
111	107	855
112	108	849
113	108	844
114	109	839
115	109	834
116	109	828
117	110	823
118	110	819
119	111	814
120	111	810
121	111	804
122	112	800
123	112	796
124	113	792
125	113	788
126	113	783
127	114	779
128	114	775
129	115	771
130	115	767
131	116	763
132	116	759
133	116	755
134	117	751
135	117	748
136	118	744
137	118	740
138	119	737
139	119	733
140	119	730
141	120	725
142	120	722
143	121	719
144	121	715
145	121	713
146	122	709
147	122	706
148	123	703
149	123	699
150	123	696
151	124	693
152	124	690
153	125	687
154	125	684
155	126	682
156	126	679
157	126	676
158	127	673
159	127	670
160	127	666
161	128	663
162	128	661
163	129	658
164	129	655
165	130	653
166	130	650
167	130	647
168	131	644
169	131	642
170	131	639
171	132	637
172	132	634
173	133	632
174	133	629
175	133	627
176	134	624
177	134	622
178	135	620
179	135	618
180	136	616
181	136	613
182	136	611
183	137	609
184	137	607
185	138	605
186	138	603
187	139	601
188	139	599
189	140	596
190	140	594
191	140	592
192	141	590
193	141	588
194	142	586
195	142	585
196	143	583
197	143	582
198	144	580
199	144	578
200	144	576
201	145	574
202	145	572
203	146	570
204	146	569
205	147	567
206	147	565
207	147	563
208	148	561
209	148	559
210	149	558
211	149	556
212	150	554
213	150	552
214	150	551
215	151	549
216	151	547
217	152	545
218	152	544
219	153	542
220	153	540
221	153	539
222	154	537
223	154	535
224	155	534
225	155	532
226	155	530
227	156	529
228	156	527
229	157	526
230	157	524
231	158	523
232	158	522
233	159	520
234	159	519
235	160	518
236	160	516
237	161	515
238	161	514
239	161	512
240	162	511
241	162	510
242	163	508
243	163	507
244	164	506
245	164	505
246	165	504
247	165	502
248	166	501
249	166	500
250	167	499
251	167	498
252	168	497
253	168	495
254	169	494
255	169	493
256	170	491
257	170	490
258	170	489
259	171	488
260	171	486
261	172	485
262	172	484
263	173	483
264	173	481
265	174	480
266	174	479
267	175	478
268	175	478
269	176	477
270	177	476
271	177	475
272	178	474
273	178	472
274	178	471
275	179	470
276	180	469
277	180	468
278	180	467
279	181	466
280	181	464
281	182	463
282	182	462
283	182	461
284	183	459
285	183	458
286	184	457
287	184	456
288	185	455
289	185	454
290	185	453
291	186	451
292	186	450
293	187	449
294	187	448
295	188	447
296	188	446
297	189	445
298	189	444
299	189	443
300	190	442
301	190	441
302	191	440
303	191	438
304	192	437
305	192	436
306	193	435
307	193	435
308	194	433
309	194	432
310	195	432
311	195	430
312	195	429
313	196	428
314	196	427
315	196	426
316	197	425
317	197	424
318	198	423
319	198	422
320	199	421
321	199	420
322	200	419
323	200	418
324	200	417
325	201	416
326	201	415
327	202	414
328	202	413
329	203	412
330	203	411
331	203	410
332	204	409
333	204	408
334	205	407
335	205	406
336	205	405
337	206	404
338	207	404
339	207	403
340	208	402
341	208	401
342	209	400
343	209	399
344	210	398
345	210	397
346	210	397
347	211	395
348	211	394
349	212	394
350	212	393
351	213	392
